id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_108,71,90.8,406,367,33,15,5,7
ID_581,71,90.8,27,24,0,1,0,0
ID_31,73,90.7,667,609,0,1,0,10
ID_330,73,90.7,220,202,0,0,0,19
ID_423,73,90.7,180,165,33,3,1,2
ID_548,73,90.7,64,56,0,3,0,2
ID_114,77,90.6,559,506,75,8,6,26
ID_296,78,90.4,254,222,66,3,2,3
ID_90,78,90.4,417,378,10,10,1,5
ID_71,80,90.3,750,681,0,4,0,12
ID_204,80,90.3,359,324,30,23,7,14
ID_377,80,90.3,259,244,0,0,0,7
ID_549,80,90.3,111,99,0,0,0,6
ID_428,80,90.3,93,83,0,0,0,6
ID_17,80,90.3,40,36,0,0,0,0
ID_28,80,90.3,595,549,0,2,0,9
ID_80,87,90.2,676,613,33,12,4,10
ID_305,87,90.2,217,197,0,0,0,10
ID_409,87,90.2,149,134,40,10,4,0
ID_565,87,90.2,72,62,25,4,1,0
ID_176,87,90.2,414,374,0,0,0,11
ID_241,87,90.2,348,313,0,0,0,6
ID_195,87,90.2,346,312,0,1,0,8
ID_158,87,90.2,241,221,0,1,0,10
ID_251,95,90.0,343,311,0,0,0,11
ID_455,95,90.0,143,129,0,0,0,1
ID_379,95,90.0,136,123,0,5,0,0
ID_510,95,90.0,130,117,0,0,0,5
ID_511,95,90.0,99,90,0,0,0,4
ID_448,95,90.0,79,71,66,3,2,0
ID_589,95,90.0,71,68,0,0,0,0
ID_563,95,90.0,71,64,0,1,0,0
ID_595,95,90.0,48,40,0,0,0,2
ID_59,104,89.9,318,277,0,0,0,21
ID_116,104,89.9,428,385,35,14,5,12
ID_4,106,89.8,799,723,25,12,3,26
ID_283,106,89.8,274,245,50,4,2,3
ID_478,106,89.8,142,127,0,11,0,6
ID_523,106,89.8,89,78,0,0,0,4
ID_26,110,89.7,461,415,0,0,0,16
ID_180,110,89.7,346,311,0,2,0,16
ID_299,110,89.7,188,162,8,12,1,6
ID_248,113,89.6,362,331,0,7,0,9
ID_96,114,89.5,688,616,35,48,17,31
ID_33,114,89.5,515,465,0,0,0,16
ID_213,114,89.5,225,202,0,0,0,3
ID_405,114,89.5,160,145,33,6,2,4
ID_408,118,89.4,166,146,0,1,0,0
ID_594,119,89.3,69,61,37,8,3,3
ID_136,119,89.3,434,391,0,0,0,15
ID_413,119,89.3,158,138,29,37,11,10
ID_358,119,89.3,304,274,0,1,0,7
ID_75,123,89.1,351,316,0,3,0,8
ID_8,123,89.1,538,482,25,4,1,6
ID_104,125,89.0,432,387,18,11,2,18
ID_220,125,89.0,382,340,0,0,0,16
ID_178,125,89.0,267,243,20,5,1,0
ID_475,125,89.0,140,119,18,11,2,7
ID_550,125,89.0,20,16,0,2,0,0
ID_387,130,88.8,159,141,50,2,1,5
ID_304,131,88.7,209,190,33,3,1,2
ID_174,131,88.7,213,188,0,0,0,12
ID_426,131,88.7,134,119,0,0,0,4
ID_560,131,88.7,38,32,0,0,0,1
ID_87,135,88.5,369,328,0,0,0,14
ID_509,135,88.5,134,121,0,0,0,2
ID_539,135,88.5,90,77,50,2,1,3
ID_453,135,88.5,90,77,0,0,0,1
ID_134,139,88.4,206,185,12,8,1,1
ID_256,140,88.2,215,192,100,2,2,10
ID_161,140,88.2,289,256,10,10,1,11
ID_70,142,88.0,668,586,20,29,6,11
ID_54,142,88.0,506,457,0,0,0,16
ID_98,142,88.0,491,434,15,19,3,3
ID_207,142,88.0,356,314,23,13,3,4
ID_291,142,88.0,248,220,0,0,0,13
ID_346,142,88.0,245,222,0,0,0,6
ID_406,142,88.0,179,164,21,33,7,12
ID_360,142,88.0,170,150,50,4,2,0
ID_492,142,88.0,104,91,57,7,4,0
ID_49,142,88.0,76,67,0,0,0,2
ID_515,142,88.0,56,49,0,0,0,4
ID_601,142,88.0,33,29,33,3,1,0
ID_38,154,87.9,354,313,0,4,0,5
ID_15,155,87.7,179,158,0,1,0,7
ID_585,155,87.7,47,39,0,0,0,0
ID_124,157,87.6,346,307,100,1,1,8
ID_5,158,87.5,643,563,0,2,0,17
ID_168,158,87.5,175,152,0,0,0,8
ID_568,158,87.5,62,54,0,1,0,0
ID_290,161,87.4,194,169,0,0,0,3
ID_95,161,87.4,386,342,0,9,0,9
ID_221,163,87.3,321,287,44,9,4,17
ID_7,163,87.3,576,503,34,23,8,11
ID_269,165,87.2,267,237,0,1,0,13
ID_271,165,87.2,242,213,0,0,0,10
ID_407,165,87.2,131,111,38,18,7,7
ID_57,165,87.2,491,438,50,2,1,4
ID_231,165,87.2,256,226,32,28,9,3
ID_242,165,87.2,243,214,40,5,2,3
ID_127,165,87.2,204,179,60,5,3,4
ID_253,172,87.0,299,262,0,1,0,9
ID_179,172,87.0,297,262,0,1,0,13
ID_155,172,87.0,240,211,0,0,0,10
ID_355,172,87.0,208,185,0,0,0,4
ID_450,172,87.0,178,156,11,9,1,3
ID_592,172,87.0,111,103,100,1,1,0
ID_536,172,87.0,103,90,0,1,0,2
ID_107,179,86.9,385,338,36,19,7,7
ID_149,179,86.9,325,284,14,7,1,11
ID_206,181,86.8,281,246,28,7,2,4
ID_77,181,86.8,398,346,26,19,5,8
ID_340,181,86.8,310,277,0,0,0,3
ID_462,181,86.8,197,178,0,2,0,6
ID_534,181,86.8,49,40,100,1,1,2
ID_228,186,86.7,278,236,26,15,4,4
ID_545,186,86.7,74,64,50,2,1,1
ID_505,186,86.7,50,44,0,0,0,0
ID_140,189,86.6,397,347,9,11,1,2
ID_102,190,86.5,369,325,0,1,0,18
ID_327,190,86.5,129,110,0,4,0,0
ID_516,190,86.5,69,54,9,11,1,0
ID_313,193,86.4,221,192,0,1,0,7
ID_460,193,86.4,103,82,33,3,1,7
ID_364,195,86.3,196,162,0,2,0,3
ID_185,195,86.3,193,167,20,15,3,8
ID_441,195,86.3,81,70,0,0,0,1
ID_331,195,86.3,123,106,25,4,1,0
ID_150,195,86.3,300,258,38,34,13,10
ID_47,195,86.3,132,118,0,1,0,3
ID_34,201,86.2,602,530,35,17,6,6
ID_171,201,86.2,232,200,0,0,0,5
ID_101,203,86.1,248,210,66,3,2,0
ID_159,204,86.0,293,253,0,1,0,10
ID_332,204,86.0,192,167,33,3,1,9
ID_351,204,86.0,190,163,0,2,0,10
ID_344,204,86.0,184,159,0,4,0,5
